T;pressure;atom_n;n0;n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n21;n22;n23;n24;n25;n26;n27;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n39;n40;n41;n42;n43;n44;n45;n46;n47;thermal_conductivity;shear_viscosity;bulk_viscosity
5;25331.2;2.56863e+26;1.10084e+26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00208574;2.28637e-06;7.40889e-09
10;25331.2;1.28431e+26;5.5042e+25;1.43069e-120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00426643;3.23341e-06;2.46416e-08
15;25331.2;8.56209e+25;3.66947e+25;3.21986e-72;4.42175e-168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00592343;3.9601e-06;4.854e-08
20;25331.2;6.42157e+25;2.7521e+25;4.43701e-48;5.62869e-120;5.62859e-191;4.40201e-261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00726742;4.57273e-06;7.78162e-08
25;25331.3;5.13725e+25;2.20168e+25;1.28438e-33;3.90255e-91;6.18504e-148;5.12208e-204;2.22114e-259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00841483;5.11247e-06;1.11762e-07
30;25331.2;4.28104e+25;1.83473e+25;5.43488e-24;6.36896e-72;2.95617e-119;5.44273e-166;3.98191e-212;1.15994e-257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00942819;5.60043e-06;1.49865e-07
35;25331.3;3.66947e+25;1.57263e+25;3.98905e-17;3.2889e-58;8.82303e-99;7.71118e-139;2.19894e-178;2.04952e-217;6.25597e-256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.010344;6.04916e-06;1.9171e-07
40;25331.2;3.21078e+25;1.37605e+25;5.52519e-12;6.22309e-48;1.96789e-83;1.74911e-118;4.37545e-153;3.08519e-187;6.14249e-221;3.45982e-254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0111852;6.46682e-06;2.36942e-07
45;25331.3;2.85403e+25;1.22316e+25;5.43534e-08;6.04151e-40;1.68107e-71;1.17213e-102;2.05035e-133;9.00998e-164;9.96174e-194;2.77594e-223;1.95333e-252;3.45132e-281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0119672;6.8591e-06;2.85253e-07
50;25331.3;2.56863e+25;1.10084e+25;8.40804e-05;1.46562e-33;5.8347e-62;5.3097e-90;1.10569e-117;5.27524e-145;5.77421e-172;1.45231e-198;8.40792e-225;1.12253e-250;3.46317e-276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0127008;7.23013e-06;3.3637e-07
55;25331.2;2.33511e+25;1.00076e+25;0.0339082;2.43252e-28;3.69719e-54;1.19152e-79;8.15004e-105;1.18448e-129;3.66233e-154;2.41243e-178;3.39078e-202;1.01867e-225;6.55342e-249;9.04637e-272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0133941;7.58302e-06;3.90052e-07
60;25331.2;2.14052e+25;9.17367e+24;4.99289;5.40494e-24;1.16445e-47;4.99649e-71;4.27368e-94;7.29415e-117;2.48704e-139;1.69625e-161;2.31746e-183;6.35239e-205;3.49946e-226;3.88157e-247;8.68592e-268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0140529;7.92021e-06;4.46085e-07
65;25331.2;1.97587e+25;8.468e+24;338.895;2.55864e-20;3.64631e-42;9.81507e-64;4.99438e-85;4.80867e-106;8.76975e-127;3.03309e-147;1.99201e-167;2.48792e-187;5.91839e-207;2.68616e-226;2.33033e-245;3.87176e-264;1.23456e-282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0146819;8.24361e-06;5.04274e-07
70;25331.3;1.83473e+25;7.86314e+24;12523.3;3.59591e-17;1.86248e-37;1.74118e-57;2.94029e-77;8.97654e-97;4.95942e-116;4.96404e-135;9.01273e-154;2.97219e-172;1.78292e-190;1.94854e-208;3.88637e-226;1.41719e-243;9.46682e-261;1.16081e-277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0152849;8.5548e-06;5.64446e-07
75;25331.2;1.71242e+25;7.33893e+24;284629;1.91351e-14;2.23098e-33;4.51368e-52;1.58577e-70;9.68229e-89;1.02836e-106;1.90191e-124;6.1321e-142;3.45103e-159;3.39469e-176;5.84527e-193;1.76462e-209;9.35572e-226;8.72704e-242;1.435e-257;4.1679e-273;2.03645e-288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0158648;8.85506e-06;6.26445e-07
80;25331.2;1.60539e+25;6.88025e+24;4.35974e+06;4.6269e-12;8.22788e-30;2.45299e-47;1.22687e-64;1.03021e-81;1.45365e-98;3.44996e-115;1.37866e-131;9.28752e-148;1.05608e-163;2.0298e-179;6.60403e-195;3.64299e-210;3.413e-225;5.4403e-240;1.47824e-254;6.86078e-269;5.45033e-283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0164241;9.14547e-06;6.90129e-07
85;25331.2;1.51096e+25;6.47553e+24;4.82626e+07;5.84446e-10;1.15043e-26;3.68286e-43;1.91861e-59;1.62772e-75;2.25069e-91;5.0768e-107;1.87e-122;1.12604e-137;1.1098e-152;1.79261e-167;4.75204e-182;2.07052e-196;1.48517e-210;1.75673e-224;3.43276e-238;1.11022e-251;5.95483e-265;5.3079e-278;1.40571e-290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0169648;9.42693e-06;7.55368e-07
90;25331.3;1.42701e+25;6.11578e+24;4.07684e+08;4.29817e-08;7.16975e-24;1.89321e-39;7.91816e-55;5.24895e-70;5.51923e-85;9.21331e-100;2.44398e-114;1.03129e-128;6.93038e-143;7.42611e-157;1.27048e-170;3.47527e-184;1.52223e-197;1.06939e-210;1.20695e-223;2.19237e-236;6.42131e-249;3.0386e-261;2.32787e-273;2.89341e-285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0174887;9.70023e-06;8.22046e-07
95;25331.2;1.35191e+25;5.79389e+24;2.74295e+09;2.00482e-06;2.2631e-21;3.9474e-36;1.06447e-50;4.44072e-65;2.86804e-79;2.87001e-93;4.45391e-107;1.07297e-120;4.01691e-134;2.33969e-147;2.12291e-160;3.00466e-173;6.64302e-186;2.29775e-198;1.24537e-210;1.05948e-222;1.41726e-234;2.98663e-246;9.93424e-258;5.2263e-269;4.35795e-280;6.19268e-291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0179973;9.96604e-06;8.90053e-07
100;25331.3;1.28431e+25;5.5042e+24;1.52118e+10;6.35101e-05;4.0072e-19;3.82267e-33;5.51632e-47;1.20491e-60;3.98638e-74;1.99923e-87;1.52116e-100;1.75764e-113;3.08723e-126;8.25226e-139;3.36092e-151;2.08823e-163;1.98207e-175;2.87812e-187;6.40335e-199;2.1863e-210;1.14749e-221;9.27458e-233;1.15651e-243;2.22924e-254;6.65565e-265;3.08436e-275;2.22345e-285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0184919;1.02249e-05;9.59294e-07
105;25331.2;1.22316e+25;5.24209e+24;7.14912e+10;0.00144426;4.3235e-17;1.91868e-30;1.26289e-43;1.23362e-56;1.78948e-69;3.85772e-82;1.23693e-94;5.90417e-107;4.19948e-119;4.45567e-131;7.05998e-143;1.67261e-154;5.93258e-166;3.15463e-177;2.51847e-188;3.02323e-199;5.46578e-210;1.49077e-220;6.14484e-231;3.83491e-241;3.63059e-251;5.22454e-261;1.14517e-270;3.83159e-280;1.96063e-289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0189735;1.04774e-05;1.02968e-06
110;25331.2;1.16756e+25;5.00382e+24;2.91265e+11;0.0246697;3.04139e-15;5.45992e-28;1.42796e-40;5.44378e-53;3.02701e-65;2.45676e-77;2.91263e-89;5.04839e-101;1.28047e-112;4.75744e-124;2.59198e-135;2.07324e-146;2.43759e-157;4.21826e-168;1.07589e-178;4.05039e-189;2.25418e-199;1.85754e-209;2.27028e-219;4.12265e-229;1.11436e-238;4.49217e-248;2.70602e-257;2.44087e-266;3.30389e-275;6.72564e-284;2.35869e-292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0194431;1.0724e-05;1.10112e-06
115;25331.2;1.11679e+25;4.78626e+24;1.04814e+12;0.328585;1.47509e-13;9.48644e-26;8.74373e-38;1.15566e-49;2.19162e-61;5.96752e-73;2.33476e-84;1.3136e-95;1.06376e-106;1.24109e-117;2.08829e-128;5.07325e-139;1.78156e-149;9.05481e-160;6.66952e-170;7.1294e-180;1.10762e-189;2.50483e-199;8.25875e-209;3.97675e-218;2.80146e-227;2.89251e-236;4.38556e-245;9.78341e-254;3.2178e-262;1.56368e-270;1.12515e-278;1.20151e-286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0199016;1.0965e-05;1.17354e-06
120;25331.2;1.07026e+25;4.58683e+24;3.3839e+12;3.52076;5.16776e-12;1.07047e-23;3.13071e-35;1.29339e-46;7.55236e-58;6.23715e-69;7.29034e-80;1.20701e-90;2.83297e-101;9.43507e-112;4.46323e-122;3.00203e-132;2.87431e-142;3.92216e-152;7.63731e-162;2.125e-171;8.46042e-181;4.82703e-190;3.95269e-199;4.65298e-208;7.88727e-217;1.92858e-225;6.81486e-234;3.48661e-242;2.58778e-250;2.79196e-258;4.38794e-266;1.00675e-273;3.37956e-281;1.66373e-288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0203498;1.12009e-05;1.24688e-06
125;25331.2;1.02745e+25;4.40336e+24;9.93053e+12;31.1532;1.35988e-10;8.26271e-22;6.99115e-33;8.24122e-44;1.35423e-54;3.10397e-65;9.93047e-76;4.43786e-86;2.77258e-96;2.42375e-106;2.96753e-116;5.0939e-126;1.22723e-135;4.15448e-145;1.97858e-154;1.32738e-163;1.25611e-172;1.67905e-181;3.17504e-190;8.50656e-199;3.23431e-207;1.74808e-215;1.3454e-223;1.4772e-231;2.31815e-239;5.2096e-247;1.67997e-254;7.78997e-262;5.20521e-269;5.02307e-276;7.01645e-283;1.42205e-289;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0207882;1.14318e-05;1.32106e-06
130;25331.2;9.87933e+24;4.234e+24;2.67851e+13;232.737;2.77835e-09;4.55834e-20;1.02826e-30;3.1906e-41;1.36255e-51;8.01314e-62;6.49391e-72;7.25736e-82;1.11934e-91;2.38466e-101;7.02375e-111;2.86296e-120;1.61665e-129;1.26606e-138;1.37669e-147;2.08114e-156;4.37934e-165;1.28455e-173;5.25954e-182;3.01054e-190;2.41278e-198;2.71185e-206;4.28176e-214;9.51353e-222;2.97996e-229;1.31838e-236;8.25414e-244;7.3278e-251;9.2436e-258;1.66034e-264;4.25593e-271;1.56031e-277;8.20073e-284;6.19374e-290;0;0;0;0;0;0;0;0;0;0;0;0.0212176;1.16582e-05;1.39604e-06
135;25331.2;9.51343e+24;4.07718e+24;6.70309e+13;1495.94;4.5331e-08;1.86577e-18;1.04346e-28;7.93307e-39;8.2031e-49;1.15435e-58;2.21203e-68;5.77626e-78;2.05698e-87;9.9977e-97;6.638e-106;6.02631e-115;7.48823e-124;1.27492e-132;2.9775e-141;9.54996e-150;4.21187e-158;2.55766e-166;2.1414e-174;2.47552e-182;3.95726e-190;8.76114e-198;2.6907e-205;1.14826e-212;6.82087e-220;5.64997e-227;6.53837e-234;1.05912e-240;2.40622e-247;7.68301e-254;3.45499e-260;2.19293e-266;1.96896e-272;2.50654e-278;4.53485e-284;1.16884e-289;0;0;0;0;0;0;0;0;0;0.0216384;1.18803e-05;1.47174e-06
140;25331.3;9.17367e+24;3.93157e+24;1.56901e+14;8407.6;6.05082e-07;5.85046e-17;7.60261e-27;1.32838e-36;3.12236e-46;9.87838e-56;4.20917e-65;2.41717e-74;1.87212e-83;1.95714e-92;2.76401e-101;5.27816e-110;1.36417e-118;4.77693e-127;2.26877e-135;1.46316e-143;1.28285e-151;1.53107e-159;2.49069e-167;5.53036e-175;1.6785e-182;6.97386e-190;3.97273e-197;3.10793e-204;3.34464e-211;4.95995e-218;1.0154e-224;2.87495e-231;1.12796e-237;6.14442e-244;4.6567e-250;4.92032e-256;7.26374e-262;1.50155e-267;4.35631e-273;1.7779e-278;1.02316e-283;8.32324e-289;1.03017e-293;0;0;0;0;0;0;0.0220512;1.20983e-05;1.54812e-06
145;25331.3;8.85733e+24;3.796e+24;3.45916e+14;41897.4;6.74657e-06;1.44474e-15;4.11593e-25;1.56062e-34;7.8793e-44;5.29992e-53;4.75226e-62;5.6841e-71;9.07529e-80;1.93566e-88;5.51978e-97;2.10631e-105;1.07655e-113;7.37715e-122;6.78488e-130;8.38445e-138;1.39377e-145;3.12049e-153;9.42157e-161;3.84125e-168;2.11775e-175;1.58111e-182;1.60097e-189;2.20202e-196;4.12078e-203;1.05096e-209;3.65926e-216;1.74253e-222;1.13698e-228;1.01844e-234;1.25481e-240;2.13091e-246;4.998e-252;1.62255e-257;7.30671e-263;4.57452e-268;3.9909e-273;4.86322e-278;8.29767e-283;1.98721e-287;6.6884e-292;0;0;0;0;0.0224563;1.23125e-05;1.62513e-06
150;25331.2;8.56209e+24;3.66947e+24;7.22647e+14;187371;6.39785e-05;2.87774e-14;1.70572e-23;1.33283e-32;1.3736e-41;1.86802e-50;3.35422e-59;7.9572e-68;2.49566e-76;1.03559e-84;5.69e-93;4.1431e-101;4.00147e-109;5.13113e-117;8.7447e-125;1.9828e-132;5.98834e-140;2.41177e-147;1.2969e-154;9.32348e-162;8.97292e-169;1.15767e-175;2.0052e-182;4.66998e-189;1.46465e-195;6.19612e-202;3.54161e-208;2.73986e-214;2.87396e-220;4.09503e-226;7.9411e-232;2.09991e-237;7.58736e-243;3.75358e-248;2.54792e-253;2.37824e-258;3.05931e-263;5.43602e-268;1.33735e-272;4.56621e-277;2.16909e-281;1.43714e-285;1.33147e-289;1.7186e-293;0;0.0228543;1.25229e-05;1.70273e-06
155;25331.2;8.28589e+24;3.5511e+24;1.43804e+15;759943;0.000524191;4.72088e-13;5.553e-22;8.53443e-31;1.71458e-39;4.50502e-48;1.54892e-56;6.97298e-65;4.11294e-73;3.18084e-81;3.2279e-89;4.30172e-97;7.53509e-105;1.73645e-112;5.26975e-120;2.10824e-127;1.11308e-134;7.76434e-142;7.16428e-149;8.75535e-156;1.41897e-162;3.05393e-169;8.74067e-176;3.33169e-182;1.69386e-188;1.15044e-194;1.04551e-200;1.27351e-206;2.08272e-212;4.58137e-218;1.35797e-223;5.4342e-229;2.94155e-234;2.15815e-239;2.1505e-244;2.91652e-249;5.39504e-254;1.36424e-258;4.72642e-263;2.24869e-267;1.4727e-271;1.33086e-275;1.66367e-279;2.88415e-283;6.95189e-287;0.0232454;1.273e-05;1.78088e-06
160;25331.2;8.02696e+24;3.44012e+24;2.73843e+15;2.82109e+06;0.00376198;6.49561e-12;1.45268e-20;4.20955e-29;1.58125e-37;7.70334e-46;4.86968e-54;3.99689e-62;4.26207e-70;5.90879e-78;1.0658e-85;2.50323e-93;7.66196e-101;3.05903e-108;1.59457e-115;1.08632e-122;9.68241e-130;1.13031e-136;1.73025e-143;3.47727e-150;9.18617e-157;3.19424e-163;1.46397e-169;8.85608e-176;7.08165e-182;7.49672e-188;1.05229e-193;1.96169e-199;4.86502e-205;1.60787e-210;7.0941e-216;4.18623e-221;3.31012e-226;3.514e-231;5.01831e-236;9.66047e-241;2.51206e-245;8.84269e-250;4.22293e-254;2.74216e-258;2.42672e-262;2.93369e-266;4.85647e-270;1.10358e-273;3.45102e-277;0.02363;1.29336e-05;1.85953e-06
165;25331.2;7.78372e+24;3.33588e+24;5.01035e+15;9.66314e+06;0.0239363;7.61728e-11;3.1152e-19;1.63786e-27;1.10752e-35;9.63647e-44;1.07944e-51;1.55756e-59;2.89683e-67;6.94904e-75;2.15161e-82;8.60549e-90;4.44956e-97;2.9769e-104;2.57941e-111;2.89739e-118;4.22345e-125;7.99775e-132;1.96968e-138;6.31626e-145;2.64054e-151;1.44094e-157;1.02777e-163;9.59487e-170;1.17407e-175;1.88581e-181;3.98215e-187;1.10722e-192;4.06026e-198;1.967e-203;1.26106e-208;1.07181e-213;1.20989e-218;1.81732e-223;3.63926e-228;9.73529e-233;3.48593e-237;1.67427e-241;1.08092e-245;9.40086e-250;1.10386e-253;1.75398e-257;3.78016e-261;1.10765e-264;4.42338e-268;0.0240085;1.31342e-05;1.93864e-06
170;25331.2;7.55478e+24;3.23776e+24;8.8392e+15;3.07595e+07;0.13647;7.72147e-10;5.57316e-18;5.13331e-26;6.03622e-34;9.06573e-42;1.73992e-49;4.26957e-57;1.34039e-64;5.38704e-72;2.77362e-79;1.83083e-86;1.55058e-93;1.6864e-100;2.35738e-107;4.23948e-114;9.81843e-121;2.93136e-127;1.12945e-133;5.62249e-140;3.62053e-146;3.01949e-152;3.26565e-158;4.58629e-164;8.37545e-170;1.99173e-175;6.17693e-181;2.50206e-186;1.32584e-191;9.20572e-197;8.3893e-202;1.00518e-206;1.58629e-211;3.30316e-216;9.09286e-221;3.31533e-225;1.60422e-229;1.03225e-233;8.85092e-238;1.01343e-241;1.55287e-245;3.19137e-249;8.81659e-253;3.28176e-256;1.64976e-259;0.0243811;1.33317e-05;2.0182e-06
175;25331.2;7.33893e+24;3.14526e+24;1.50836e+16;9.15674e+07;0.703808;6.85102e-09;8.44838e-17;1.32027e-24;2.61571e-32;6.57282e-40;2.09585e-47;8.48493e-55;4.36386e-62;2.853e-69;2.37266e-76;2.51183e-83;3.38766e-90;5.82535e-97;1.27831e-103;3.58291e-110;1.28394e-116;5.88842e-123;3.45987e-129;2.60739e-135;2.52313e-141;3.13893e-147;5.0266e-153;1.03748e-158;2.76365e-164;9.51448e-170;4.23947e-175;2.44854e-180;1.83585e-185;1.78973e-190;2.2723e-195;3.76355e-200;8.14576e-205;2.308e-209;8.57627e-214;4.18726e-218;2.69128e-222;2.28159e-226;2.55644e-230;3.79354e-234;7.47098e-238;1.9569e-241;6.8323e-245;3.18677e-248;1.99027e-251;0.0247481;1.35263e-05;2.09815e-06
180;25331.3;7.13507e+24;3.05789e+24;2.49665e+16;2.56353e+08;3.31091;5.38016e-08;1.10029e-15;2.83291e-23;9.18618e-31;3.75322e-38;1.93306e-45;1.2557e-52;1.02938e-59;1.06556e-66;1.39373e-73;2.3051e-80;4.82432e-87;1.27868e-93;4.29576e-100;1.83085e-106;9.9085e-113;6.81605e-119;5.96589e-125;6.65121e-131;9.45578e-137;1.71622e-142;3.98154e-148;1.18217e-153;4.49812e-159;2.19627e-164;1.37801e-169;1.11265e-174;1.15785e-179;1.55525e-184;2.70076e-189;6.07324e-194;1.77145e-198;6.71363e-203;3.31187e-207;2.13042e-211;1.79035e-215;1.96934e-219;2.84091e-223;5.38538e-227;1.34426e-230;4.42761e-234;1.9284e-237;1.11305e-240;8.53271e-244;0.0251097;1.37182e-05;2.17848e-06
185;25331.2;6.94223e+24;2.97524e+24;4.01842e+16;6.78329e+08;14.3141;3.77685e-07;1.24641e-14;5.14636e-22;2.65957e-29;1.72098e-36;1.39506e-43;1.41739e-50;1.80592e-57;2.88725e-64;5.79595e-71;1.4619e-77;4.63644e-84;1.85038e-90;9.30042e-97;5.89234e-103;4.7099e-109;4.75434e-115;6.06678e-121;9.79647e-127;2.00401e-132;5.19923e-138;1.71278e-143;7.17334e-149;3.82426e-154;2.59868e-159;2.25386e-164;2.4985e-169;3.54519e-174;6.44849e-179;1.50592e-183;4.5223e-188;1.74919e-192;8.72896e-197;5.62965e-201;4.70067e-205;5.09075e-209;7.16396e-213;1.31249e-216;3.13659e-220;9.79709e-224;4.00773e-227;2.1516e-230;1.51919e-233;1.41379e-236;0.0254661;1.39074e-05;2.25916e-06
190;25331.2;6.75954e+24;2.89695e+24;6.30325e+16;1.70409e+09;57.2542;2.39117e-06;1.24172e-13;8.02014e-21;6.44537e-28;6.44759e-35;8.03204e-42;1.24666e-48;2.41213e-55;5.8215e-62;1.75356e-68;6.5971e-75;3.10197e-81;1.82434e-87;1.34309e-93;1.2388e-99;1.43278e-105;2.07992e-111;3.79335e-117;8.70066e-123;2.51244e-128;9.14398e-134;4.19922e-139;2.4362e-144;1.78775e-149;1.66152e-154;1.95833e-159;2.93116e-164;5.57932e-169;1.35251e-173;4.18187e-178;1.65173e-182;8.34711e-187;5.40591e-191;4.49432e-195;4.8047e-199;6.61669e-203;1.1759e-206;2.70183e-210;8.04127e-214;3.10607e-217;1.56018e-220;1.02116e-223;8.72709e-227;9.75917e-230;0.0258177;1.40941e-05;2.34015e-06
195;25331.2;6.58622e+24;2.82267e+24;9.65505e+16;4.08071e+09;213.149;1.37625e-05;1.09874e-12;1.08494e-19;1.32555e-26;2.0046e-33;3.75402e-40;8.70987e-47;2.50496e-53;8.93532e-60;3.95553e-66;2.17455e-72;1.48561e-78;1.2622e-84;1.3347e-90;1.75803e-96;2.8869e-102;5.91552e-108;1.51399e-113;4.84457e-119;1.94016e-124;9.73501e-130;6.12689e-135;4.84232e-140;4.8117e-145;6.01892e-150;9.49016e-155;1.88861e-159;4.75028e-164;1.51225e-168;6.10223e-173;3.12584e-177;2.03576e-181;1.68835e-185;1.78598e-189;2.41379e-193;4.17518e-197;9.25903e-201;2.63726e-204;9.66583e-208;4.5671e-211;2.78738e-214;2.20171e-217;2.25531e-220;3.00212e-223;0.0261645;1.42784e-05;2.42144e-06
200;25331.3;6.42157e+24;2.7521e+24;1.44679e+17;9.34843e+09;742.57;7.25272e-05;8.71248e-12;1.28764e-18;2.3421e-25;5.24503e-32;1.44679e-38;4.91793e-45;2.06111e-51;1.06562e-57;6.80058e-64;5.36051e-70;5.22248e-76;6.2932e-82;9.38687e-88;1.73449e-93;3.97367e-99;1.1297e-104;3.98926e-110;1.75144e-115;9.57001e-121;6.51477e-126;5.53134e-131;5.86406e-136;7.77164e-141;1.28915e-145;2.67986e-150;6.99051e-155;2.29125e-159;9.44941e-164;4.91047e-168;3.22005e-172;2.66858e-176;2.79928e-180;3.72264e-184;6.28642e-188;1.3503e-191;3.69549e-195;1.29091e-198;5.76606e-202;3.29929e-205;2.42291e-208;2.28803e-211;2.78385e-214;4.37283e-217;0.0265067;1.44603e-05;2.50299e-06
205;25331.2;6.26494e+24;2.68498e+24;2.12435e+17;2.05549e+10;2432.68;0.000352233;6.24108e-11;1.35365e-17;3.59512e-24;1.16962e-30;4.66324e-37;2.27948e-43;1.36681e-49;1.00586e-55;9.09036e-62;1.00949e-67;1.37845e-73;2.31607e-79;4.7919e-85;1.22179e-90;3.84217e-96;1.4915e-101;7.15366e-107;4.24329e-112;3.11582e-117;2.8352e-122;3.20037e-127;4.48642e-132;7.81957e-137;1.69653e-141;4.58747e-146;1.54798e-150;6.52687e-155;3.44334e-159;2.27611e-163;1.88783e-167;1.96758e-171;2.58079e-175;4.26676e-179;8.90556e-183;2.35044e-186;7.8576e-190;3.33292e-193;1.79687e-196;1.23351e-199;1.08019e-202;1.20893e-205;1.73252e-208;3.18554e-211;0.0268446;1.46399e-05;2.5848e-06
210;25331.2;6.11578e+24;2.62105e+24;3.0609e+17;4.35056e+10;7527.31;0.00158571;4.06823e-10;1.27149e-16;4.84269e-23;2.24847e-29;1.27319e-35;8.79633e-42;7.41857e-48;7.64151e-54;9.61887e-60;1.48054e-65;2.78833e-71;6.42978e-77;1.81673e-82;6.29446e-88;2.67638e-93;1.39774e-98;8.97383e-104;7.08924e-109;6.89781e-114;8.27459e-119;1.22506e-123;2.24085e-128;5.06987e-133;1.42042e-137;4.93387e-142;2.12741e-146;1.14014e-150;7.60475e-155;6.32144e-159;6.55782e-163;8.50232e-167;1.37972e-170;2.80658e-174;7.16753e-178;2.30176e-181;9.3102e-185;4.75106e-188;3.06407e-191;2.50174e-194;2.5906e-197;3.40853e-200;5.70891e-203;1.21952e-205;0.0271783;1.48174e-05;2.66684e-06
215;25331.2;5.97355e+24;2.56009e+24;4.33365e+17;8.88771e+10;22087.1;0.00665254;2.42909e-09;1.07555e-15;5.77684e-22;3.76509e-28;2.97894e-34;2.86245e-40;3.34204e-46;4.74358e-52;8.18959e-58;1.72082e-63;4.40354e-69;1.37325e-74;5.22263e-80;2.42405e-85;1.3742e-90;9.52286e-96;8.07369e-101;8.38213e-106;1.06665e-110;1.66532e-115;3.19319e-120;7.52765e-125;2.18412e-129;7.80854e-134;3.44386e-138;1.87598e-142;1.26374e-146;1.05414e-150;1.09023e-154;1.39996e-158;2.23508e-162;4.44305e-166;1.10133e-169;3.40929e-173;1.32006e-176;6.40329e-180;3.89759e-183;2.98196e-186;2.87251e-189;3.49007e-192;5.35793e-195;1.04122e-197;2.56612e-200;0.027508;1.49927e-05;2.74908e-06
220;25331.2;5.83779e+24;2.50191e+24;6.03621e+17;1.75672e+11;61681.7;0.0261345;1.33653e-08;8.25222e-15;6.15358e-21;5.54373e-27;6.03619e-33;7.94689e-39;1.26563e-44;2.43954e-50;5.69425e-56;1.61044e-61;5.52206e-67;2.29714e-72;1.16012e-77;7.11818e-83;5.31024e-88;4.82047e-93;5.32918e-98;7.1814e-103;1.18068e-107;2.37055e-112;5.81817e-117;1.7474e-121;6.42885e-126;2.9006e-130;1.60676e-134;1.09406e-138;9.1681e-143;9.46711e-147;1.20619e-150;1.89868e-154;3.69762e-158;8.92148e-162;2.67069e-165;9.93402e-169;4.59836e-172;2.65298e-175;1.91077e-178;1.72084e-181;1.94111e-184;2.74715e-187;4.88648e-190;1.09437e-192;3.09157e-195;0.0278337;1.5166e-05;2.83152e-06
