T;pressure;atom_n;n0;n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n21;n22;n23;n24;n25;n26;n27;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n39;n40;n41;n42;n43;n44;n45;n46;n47;thermal_conductivity;shear_viscosity;bulk_viscosity
5;177319;1.79804e+27;7.70588e+26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00208574;2.28637e-06;7.40889e-09
10;177319;8.99019e+26;3.85294e+26;1.00148e-119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00426643;3.23341e-06;2.46416e-08
15;177319;5.99346e+26;2.56863e+26;2.25391e-71;3.09522e-167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00592343;3.9601e-06;4.854e-08
20;177319;4.4951e+26;1.92647e+26;3.10591e-47;3.94008e-119;3.94001e-190;3.0814e-260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00726742;4.57273e-06;7.78162e-08
25;177319;3.59608e+26;1.54118e+26;8.99069e-33;2.73179e-90;4.32953e-147;3.58546e-203;1.5548e-258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00841483;5.11247e-06;1.11762e-07
30;177319;2.99673e+26;1.28431e+26;3.80442e-23;4.45827e-71;2.06932e-118;3.80991e-165;2.78734e-211;8.11959e-257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00942819;5.60043e-06;1.49865e-07
35;177319;2.56863e+26;1.10084e+26;2.79234e-16;2.30223e-57;6.17612e-98;5.39782e-138;1.53926e-177;1.43466e-216;4.37918e-255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.010344;6.04916e-06;1.9171e-07
40;177319;2.24755e+26;9.63235e+25;3.86763e-11;4.35616e-47;1.37753e-82;1.22438e-117;3.06282e-152;2.15963e-186;4.29974e-220;2.42187e-253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0111852;6.46682e-06;2.36942e-07
45;177319;1.99782e+26;8.56209e+25;3.80474e-07;4.22906e-39;1.17675e-70;8.20494e-102;1.43524e-132;6.30698e-163;6.97322e-193;1.94316e-222;1.36733e-251;2.41593e-280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0119672;6.8591e-06;2.85253e-07
50;177319;1.79804e+26;7.70588e+25;0.000588563;1.02593e-32;4.08429e-61;3.71679e-89;7.73986e-117;3.69267e-144;4.04194e-171;1.01662e-197;5.88554e-224;7.85769e-250;2.42422e-275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0127008;7.23013e-06;3.3637e-07
55;177319;1.63458e+26;7.00534e+25;0.237357;1.70276e-27;2.58803e-53;8.34063e-79;5.70503e-104;8.29139e-129;2.56363e-153;1.6887e-177;2.37354e-201;7.1307e-225;4.58739e-248;6.33246e-271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0133941;7.58302e-06;3.90052e-07
60;177319;1.49837e+26;6.42157e+25;34.9502;3.78346e-23;8.15116e-47;3.49754e-70;2.99158e-93;5.1059e-116;1.74093e-138;1.18737e-160;1.62223e-182;4.44667e-204;2.44962e-225;2.7171e-246;6.08015e-267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0140529;7.92021e-06;4.46085e-07
65;177319;1.38311e+26;5.9276e+25;2372.27;1.79105e-19;2.55241e-41;6.87055e-63;3.49607e-84;3.36607e-105;6.13882e-126;2.12316e-146;1.39441e-166;1.74155e-186;4.14288e-206;1.88031e-225;1.63123e-244;2.71023e-263;8.64193e-282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0146819;8.24361e-06;5.04274e-07
70;177319;1.28431e+26;5.5042e+25;87662.9;2.51714e-16;1.30374e-36;1.21883e-56;2.0582e-76;6.28358e-96;3.47159e-115;3.47483e-134;6.30891e-153;2.08053e-171;1.24804e-189;1.36398e-207;2.72046e-225;9.92036e-243;6.62677e-260;8.12566e-277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0152849;8.5548e-06;5.64446e-07
75;177319;1.19869e+26;5.13725e+25;1.99241e+06;1.33946e-13;1.56169e-32;3.15957e-51;1.11004e-69;6.7776e-88;7.19852e-106;1.33134e-123;4.29247e-141;2.41572e-158;2.37628e-175;4.09169e-192;1.23523e-208;6.549e-225;6.10893e-241;1.0045e-256;2.91753e-272;1.42551e-287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0158648;8.85506e-06;6.26445e-07
80;177319;1.12377e+26;4.81617e+25;3.05182e+07;3.23883e-11;5.75952e-29;1.71709e-46;8.58809e-64;7.2115e-81;1.01755e-97;2.41497e-114;9.65061e-131;6.50126e-147;7.39258e-163;1.42086e-178;4.62282e-194;2.55009e-209;2.3891e-224;3.80821e-239;1.03477e-253;4.80254e-268;3.81523e-282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0164241;9.14547e-06;6.90129e-07
85;177319;1.05767e+26;4.53287e+25;3.37838e+08;4.09112e-09;8.05301e-26;2.578e-42;1.34303e-58;1.1394e-74;1.57548e-90;3.55376e-106;1.309e-121;7.88227e-137;7.76862e-152;1.25483e-166;3.32643e-181;1.44936e-195;1.03962e-209;1.22971e-223;2.40293e-237;7.77157e-251;4.16838e-264;3.71553e-277;9.83996e-290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0169648;9.42693e-06;7.55368e-07
90;177319;9.9891e+25;4.28104e+25;2.85379e+09;3.00872e-07;5.01882e-23;1.32525e-38;5.54271e-54;3.67427e-69;3.86346e-84;6.44932e-99;1.71079e-113;7.21903e-128;4.85127e-142;5.19828e-156;8.89334e-170;2.43269e-183;1.06556e-196;7.48571e-210;8.44863e-223;1.53466e-235;4.49492e-248;2.12702e-260;1.62951e-272;2.02539e-284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0174887;9.70023e-06;8.22046e-07
95;177319;9.46336e+25;4.05573e+25;1.92007e+10;1.40337e-05;1.58417e-20;2.76318e-35;7.4513e-50;3.10851e-64;2.00763e-78;2.00901e-92;3.11774e-106;7.51079e-120;2.81183e-133;1.63778e-146;1.48604e-159;2.10326e-172;4.65012e-185;1.60842e-197;8.71762e-210;7.41635e-222;9.92082e-234;2.09064e-245;6.95397e-257;3.65841e-268;3.05057e-279;4.33487e-290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0179973;9.96604e-06;8.90053e-07
100;177319;8.99019e+25;3.85294e+25;1.06482e+11;0.000444571;2.80504e-18;2.67587e-32;3.86143e-46;8.43434e-60;2.79046e-73;1.39946e-86;1.06482e-99;1.23035e-112;2.16106e-125;5.77658e-138;2.35264e-150;1.46176e-162;1.38745e-174;2.01469e-186;4.48234e-198;1.53041e-209;8.03243e-221;6.49221e-232;8.09558e-243;1.56047e-253;4.65896e-264;2.15905e-274;1.55641e-284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0184919;1.02249e-05;9.59294e-07
105;177319;8.56209e+25;3.66947e+25;5.00438e+11;0.0101098;3.02645e-16;1.34308e-29;8.84026e-43;8.63531e-56;1.25264e-68;2.70041e-81;8.65851e-94;4.13292e-106;2.93963e-118;3.11897e-130;4.94199e-142;1.17082e-153;4.1528e-165;2.20824e-176;1.76293e-187;2.11626e-198;3.82605e-209;1.04354e-219;4.30139e-230;2.68443e-240;2.54142e-250;3.65718e-260;8.01618e-270;2.68211e-279;1.37244e-288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0189735;1.04774e-05;1.02968e-06
110;177319;8.1729e+25;3.50267e+25;2.03885e+12;0.172688;2.12897e-14;3.82194e-27;9.99571e-40;3.81065e-52;2.11891e-64;1.71973e-76;2.03884e-88;3.53387e-100;8.9633e-112;3.33021e-123;1.81439e-134;1.45127e-145;1.70631e-156;2.95278e-167;7.53123e-178;2.83528e-188;1.57792e-198;1.30028e-208;1.5892e-218;2.88585e-228;7.80052e-238;3.14452e-247;1.89421e-256;1.70861e-265;2.31272e-274;4.70795e-283;1.65108e-291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0194431;1.0724e-05;1.10112e-06
115;177319;7.81756e+25;3.35038e+25;7.33696e+12;2.30009;1.03257e-12;6.64051e-25;6.12061e-37;8.08962e-49;1.53413e-60;4.17727e-72;1.63433e-83;9.19519e-95;7.44633e-106;8.68764e-117;1.4618e-127;3.55127e-138;1.24709e-148;6.33836e-159;4.66866e-169;4.99058e-179;7.75336e-189;1.75338e-198;5.78113e-208;2.78373e-217;1.96102e-226;2.02476e-235;3.06989e-244;6.84839e-253;2.25246e-261;1.09458e-269;7.87606e-278;8.41055e-286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0199016;1.0965e-05;1.17354e-06
