T;pressure;atom_n;n0;n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n21;n22;n23;n24;n25;n26;n27;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n39;n40;n41;n42;n43;n44;n45;n46;n47;thermal_conductivity;shear_viscosity;bulk_viscosity
5;101325;7.33893e+26;7.33893e+26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00179288;2.42576e-06;9.58973e-09
10;101325;3.66947e+26;3.66947e+26;9.53795e-120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00384353;3.43054e-06;3.36434e-08
15;101325;2.44631e+26;2.44631e+26;2.14658e-71;2.94783e-167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00544271;4.20154e-06;6.85701e-08
20;101325;1.83473e+26;1.83473e+26;2.95801e-47;3.75246e-119;3.75239e-190;2.93467e-260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00674765;4.85152e-06;1.12405e-07
25;101325;1.46779e+26;1.46779e+26;8.56256e-33;2.6017e-90;4.12336e-147;3.41472e-203;1.48076e-258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00786336;5.42416e-06;1.6391e-07
30;101325;1.22316e+26;1.22316e+26;3.62326e-23;4.24597e-71;1.97078e-118;3.62848e-165;2.65461e-211;7.73294e-257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00884905;5.94187e-06;2.22188e-07
35;101325;1.04842e+26;1.04842e+26;2.65937e-16;2.1926e-57;5.88202e-98;5.14078e-138;1.46596e-177;1.36634e-216;4.17065e-255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00973983;6.41795e-06;2.86524e-07
40;101325;9.17367e+25;9.17367e+25;3.68346e-11;4.14872e-47;1.31193e-82;1.16607e-117;2.91697e-152;2.05679e-186;4.09499e-220;2.30654e-253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.010558;6.86108e-06;3.56326e-07
45;101325;8.15437e+25;8.15437e+25;3.62356e-07;4.02767e-39;1.12071e-70;7.81423e-102;1.3669e-132;6.00665e-163;6.64116e-193;1.85062e-222;1.30222e-251;2.30088e-280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0113186;7.27727e-06;4.31087e-07
50;101325;7.33893e+25;7.33893e+25;0.000560536;9.7708e-33;3.8898e-61;3.5398e-89;7.3713e-117;3.51682e-144;3.84947e-171;9.68207e-198;5.60528e-224;7.48352e-250;2.30878e-275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0120321;7.67092e-06;5.10364e-07
