T;pressure;atom_n;n0;n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n21;n22;n23;n24;n25;n26;n27;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n39;n40;n41;n42;n43;n44;n45;n46;n47;thermal_conductivity;shear_viscosity;bulk_viscosity
5;101325;1.46779e+26;1.32101e+27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00257232;2.67163e-06;1.18349e-08
10;101325;7.33893e+25;6.60504e+26;1.71683e-119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00443786;3.77826e-06;4.32231e-08
15;101325;4.89262e+25;4.40336e+26;3.86384e-71;5.3061e-167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00578343;4.6274e-06;9.07076e-08
20;101325;3.66947e+25;3.30252e+26;5.32441e-47;6.75443e-119;6.7543e-190;5.28241e-260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0068835;5.34326e-06;1.51993e-07
25;101325;2.93557e+25;2.64202e+26;1.54126e-32;4.68306e-90;7.42204e-147;6.1465e-203;2.66537e-258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00783886;5.97395e-06;2.2538e-07
30;101325;2.44631e+25;2.20168e+26;6.52186e-23;7.64275e-71;3.54741e-118;6.53127e-165;4.77829e-211;1.39193e-256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00869686;6.54413e-06;3.09527e-07
35;101325;2.09684e+25;1.88715e+26;4.78686e-16;3.94668e-57;1.05876e-97;9.25341e-138;2.63873e-177;2.45942e-216;7.50717e-255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00948366;7.06847e-06;4.03331e-07
40;101325;1.83473e+25;1.65126e+26;6.63023e-11;7.4677e-47;2.36147e-82;2.09893e-117;5.25054e-152;3.70222e-186;7.37099e-220;4.15178e-253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0102153;7.55652e-06;5.0586e-07
45;101325;1.63087e+25;1.46779e+26;6.52241e-07;7.24981e-39;2.01729e-70;1.40656e-101;2.46042e-132;1.0812e-162;1.19541e-192;3.33112e-222;2.34399e-251;4.14159e-280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0109026;8.0149e-06;6.16319e-07
50;101325;1.46779e+25;1.32101e+26;0.00100896;1.75874e-32;7.00164e-61;6.37165e-89;1.32683e-116;6.33028e-144;6.92905e-171;1.74277e-197;1.00895e-223;1.34703e-249;4.15581e-275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0115531;8.44844e-06;7.34012e-07
55;101325;1.33435e+25;1.20092e+26;0.406898;2.91902e-27;4.43663e-53;1.42982e-78;9.78005e-104;1.42138e-128;4.39479e-153;2.89491e-177;4.06893e-201;1.22241e-224;7.8641e-248;1.08556e-270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0121722;8.8608e-06;8.58329e-07
60;101325;1.22316e+25;1.10084e+26;59.9146;6.48592e-23;1.39734e-46;5.99578e-70;5.12842e-93;8.75297e-116;2.98445e-138;2.0355e-160;2.78096e-182;7.62286e-204;4.19935e-225;4.65788e-246;1.04231e-266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0127643;9.2548e-06;9.88728e-07
