T;pressure;atom_n;n0;n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n21;n22;n23;n24;n25;n26;n27;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n39;n40;n41;n42;n43;n44;n45;n46;n47;thermal_conductivity;shear_viscosity;bulk_viscosity
5;25331.2;3.66947e+25;3.30252e+26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00257232;2.67163e-06;1.18349e-08
10;25331.2;1.83473e+25;1.65126e+26;4.29208e-120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00443786;3.77826e-06;4.32231e-08
15;25331.2;1.22316e+25;1.10084e+26;9.65959e-72;1.32652e-167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00578343;4.6274e-06;9.07076e-08
20;25331.2;9.17367e+24;8.2563e+25;1.3311e-47;1.68861e-119;1.68858e-190;1.3206e-260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0068835;5.34326e-06;1.51993e-07
25;25331.3;7.33893e+24;6.60504e+25;3.85315e-33;1.17077e-90;1.85551e-147;1.53662e-203;6.66342e-259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00783886;5.97395e-06;2.2538e-07
30;25331.2;6.11578e+24;5.5042e+25;1.63047e-23;1.91069e-71;8.86852e-119;1.63282e-165;1.19457e-211;3.47982e-257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00869686;6.54413e-06;3.09527e-07
35;25331.3;5.24209e+24;4.71789e+25;1.19672e-16;9.8667e-58;2.64691e-98;2.31335e-138;6.59682e-178;6.14855e-217;1.87679e-255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00948366;7.06847e-06;4.03331e-07
40;25331.2;4.58683e+24;4.12815e+25;1.65756e-11;1.86693e-47;5.90368e-83;5.24733e-118;1.31264e-152;9.25556e-187;1.84275e-220;1.03795e-253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0102153;7.55652e-06;5.0586e-07
45;25331.3;4.07718e+24;3.66947e+25;1.6306e-07;1.81245e-39;5.04321e-71;3.5164e-102;6.15104e-133;2.70299e-163;2.98852e-193;8.32781e-223;5.85999e-252;1.0354e-280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0109026;8.0149e-06;6.16319e-07
50;25331.3;3.66947e+24;3.30252e+25;0.000252241;4.39686e-33;1.75041e-61;1.59291e-89;3.31708e-117;1.58257e-144;1.73226e-171;4.35693e-198;2.52238e-224;3.36758e-250;1.03895e-275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0115531;8.44844e-06;7.34012e-07
55;25331.3;3.33588e+24;3.00229e+25;0.101725;7.29756e-28;1.10916e-53;3.57455e-79;2.44501e-104;3.55345e-129;1.0987e-153;7.23728e-178;1.01723e-201;3.05601e-225;1.96603e-248;2.71391e-271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0121722;8.8608e-06;8.58329e-07
60;25331.2;3.05789e+24;2.7521e+25;14.9787;1.62148e-23;3.49335e-47;1.49895e-70;1.2821e-93;2.18824e-116;7.46112e-139;5.08874e-161;6.95239e-183;1.90572e-204;1.04984e-225;1.16447e-246;2.60578e-267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0127643;9.2548e-06;9.88728e-07
65;25331.2;2.82267e+24;2.5404e+25;1016.69;7.67593e-20;1.09389e-41;2.94452e-63;1.49831e-84;1.4426e-105;2.63092e-126;9.09926e-147;5.97603e-167;7.46377e-187;1.77552e-206;8.05849e-226;6.99099e-245;1.16153e-263;3.70369e-282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0133327;9.63271e-06;1.12473e-06
70;25331.3;2.62105e+24;2.35894e+25;37569.8;1.07877e-16;5.58744e-37;5.22354e-57;8.82086e-77;2.69296e-96;1.48782e-115;1.48921e-134;2.70382e-153;8.91657e-172;5.34876e-190;5.84561e-208;1.16591e-225;4.25158e-243;2.84005e-260;3.48243e-277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01388;9.99633e-06;1.2659e-06
75;25331.2;2.44631e+24;2.20168e+25;853888;5.74053e-14;6.69294e-33;1.3541e-51;4.75731e-70;2.90469e-88;3.08508e-106;5.70573e-124;1.83963e-141;1.03531e-158;1.01841e-175;1.75358e-192;5.29386e-209;2.80672e-225;2.61811e-241;4.30501e-257;1.25037e-272;6.10935e-288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0144084;1.03472e-05;1.41184e-06
80;25331.2;2.29342e+24;2.06407e+25;1.30792e+07;1.38807e-11;2.46836e-29;7.35897e-47;3.68061e-64;3.09064e-81;4.36094e-98;1.03499e-114;4.13598e-131;2.78626e-147;3.16825e-163;6.08939e-179;1.98121e-194;1.0929e-209;1.0239e-224;1.63209e-239;4.43472e-254;2.05823e-268;1.6351e-282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0149199;1.06865e-05;1.56221e-06
