T;pressure;atom_n;n0;n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n21;n22;n23;n24;n25;n26;n27;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n39;n40;n41;n42;n43;n44;n45;n46;n47;thermal_conductivity;shear_viscosity;bulk_viscosity
5;25331.2;1.10084e+26;2.56863e+26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00189191;2.55387e-06;1.10044e-08
10;25331.2;5.5042e+25;1.28431e+26;3.33828e-120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0038828;3.61172e-06;3.95853e-08
15;25331.2;3.66947e+25;8.56209e+25;7.51302e-72;1.03174e-167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00539752;4.42344e-06;8.21403e-08
20;25331.2;2.7521e+25;6.42157e+25;1.0353e-47;1.31336e-119;1.31334e-190;1.02713e-260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00662901;5.10775e-06;1.36428e-07
25;25331.3;2.20168e+25;5.13725e+25;2.9969e-33;9.10596e-91;1.44318e-147;1.19515e-203;5.18266e-259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0076842;5.71063e-06;2.00896e-07
30;25331.2;1.83473e+25;4.28104e+25;1.26814e-23;1.48609e-71;6.89774e-119;1.26997e-165;9.29112e-212;2.70653e-257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00861977;6.25569e-06;2.74364e-07
35;25331.3;1.57263e+25;3.66947e+25;9.30779e-17;7.6741e-58;2.05871e-98;1.79927e-138;5.13086e-178;4.78221e-217;1.45973e-255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00946841;6.75691e-06;3.55887e-07
40;25331.2;1.37605e+25;3.21078e+25;1.28921e-11;1.45205e-47;4.59175e-83;4.08125e-118;1.02094e-152;7.19877e-187;1.43325e-220;8.07291e-254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0102506;7.22344e-06;4.44673e-07
45;25331.3;1.22316e+25;2.85403e+25;1.26825e-07;1.40969e-39;3.9225e-71;2.73498e-102;4.78414e-133;2.10233e-163;2.32441e-193;6.47719e-223;4.55777e-252;8.05309e-281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0109798;7.66162e-06;5.4005e-07
50;25331.3;1.10084e+25;2.56863e+25;0.000196188;3.41978e-33;1.36143e-61;1.23893e-89;2.57995e-117;1.23089e-144;1.34731e-171;3.38872e-198;1.96185e-224;2.61923e-250;8.08074e-276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0116657;8.07606e-06;6.41431e-07
55;25331.2;1.00076e+25;2.33511e+25;0.0791191;5.67588e-28;8.62677e-54;2.78021e-79;1.90168e-104;2.7638e-129;8.54543e-154;5.629e-178;7.91181e-202;2.3769e-225;1.52913e-248;2.11082e-271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0123153;8.47024e-06;7.48305e-07
60;25331.2;9.17367e+24;2.14052e+25;11.6501;1.26115e-23;2.71705e-47;1.16585e-70;9.97192e-94;1.70197e-116;5.8031e-139;3.95791e-161;5.40742e-183;1.48222e-204;8.16541e-226;9.05699e-247;2.02672e-267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0129338;8.84688e-06;8.60216e-07
65;25331.2;8.468e+24;1.97587e+25;790.756;5.97016e-20;8.50805e-42;2.29018e-63;1.16536e-84;1.12202e-105;2.04627e-126;7.0772e-147;4.64803e-167;5.80515e-187;1.38096e-206;6.26772e-226;5.43744e-245;9.03412e-264;2.88064e-282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0135253;9.20812e-06;9.76759e-07
