T;pressure;atom_n;n0;n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n21;n22;n23;n24;n25;n26;n27;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n39;n40;n41;n42;n43;n44;n45;n46;n47;thermal_conductivity;shear_viscosity;bulk_viscosity
5;177319;1.28431e+27;1.28431e+27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00179288;2.42576e-06;9.58973e-09
10;177319;6.42157e+26;6.42157e+26;1.66914e-119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00384353;3.43054e-06;3.36434e-08
15;177319;4.28104e+26;4.28104e+26;3.75651e-71;5.15871e-167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00544271;4.20154e-06;6.85701e-08
20;177319;3.21078e+26;3.21078e+26;5.17651e-47;6.56681e-119;6.56669e-190;5.13567e-260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00674765;4.85152e-06;1.12405e-07
25;177319;2.56863e+26;2.56863e+26;1.49845e-32;4.55298e-90;7.21588e-147;5.97576e-203;2.59133e-258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00786336;5.42416e-06;1.6391e-07
30;177319;2.14052e+26;2.14052e+26;6.3407e-23;7.43045e-71;3.44887e-118;6.34985e-165;4.64556e-211;1.35326e-256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00884905;5.94187e-06;2.22188e-07
35;177319;1.83473e+26;1.83473e+26;4.65389e-16;3.83705e-57;1.02935e-97;8.99637e-138;2.56543e-177;2.3911e-216;7.29863e-255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00973983;6.41795e-06;2.86524e-07
40;177319;1.60539e+26;1.60539e+26;6.44605e-11;7.26027e-47;2.29588e-82;2.04063e-117;5.10469e-152;3.59938e-186;7.16624e-220;4.03645e-253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.010558;6.86108e-06;3.56326e-07
45;177319;1.42701e+26;1.42701e+26;6.34123e-07;7.04843e-39;1.96125e-70;1.36749e-101;2.39207e-132;1.05116e-162;1.1622e-192;3.23859e-222;2.27888e-251;4.02655e-280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0113186;7.27727e-06;4.31087e-07
50;177319;1.28431e+26;1.28431e+26;0.000980938;1.70989e-32;6.80715e-61;6.19465e-89;1.28998e-116;6.15444e-144;6.73657e-171;1.69436e-197;9.80924e-224;1.30962e-249;4.04037e-275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0120321;7.67092e-06;5.10364e-07
55;177319;1.16756e+26;1.16756e+26;0.395596;2.83794e-27;4.31339e-53;1.3901e-78;9.50838e-104;1.3819e-128;4.27271e-153;2.8145e-177;3.9559e-201;1.18845e-224;7.64565e-248;1.05541e-270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0127062;8.04533e-06;5.93771e-07
60;177319;1.07026e+26;1.07026e+26;58.2503;6.30576e-23;1.35853e-46;5.82923e-70;4.98596e-93;8.50984e-116;2.90155e-138;1.97895e-160;2.70371e-182;7.41112e-204;4.08271e-225;4.5285e-246;1.01336e-266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0133468;8.40307e-06;6.80963e-07
65;177319;9.87933e+25;9.87933e+25;3953.78;2.98508e-19;4.25402e-41;1.14509e-62;5.82678e-84;5.61012e-105;1.02314e-125;3.5386e-146;2.32401e-166;2.90258e-186;6.90479e-206;3.13386e-225;2.71872e-244;4.51706e-263;1.44032e-281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0139585;8.74619e-06;7.71632e-07
70;177319;9.17367e+25;9.17367e+25;146105;4.19523e-16;2.17289e-36;2.03138e-56;3.43033e-76;1.04726e-95;5.78598e-115;5.79138e-134;1.05149e-152;3.46756e-171;2.08007e-189;2.27329e-207;4.5341e-225;1.65339e-242;1.10446e-259;1.35428e-276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0145448;9.07635e-06;8.65501e-07
75;177319;8.56209e+25;8.56209e+25;3.32068e+06;2.23243e-13;2.60281e-32;5.26595e-51;1.85007e-69;1.1296e-87;1.19975e-105;2.21889e-123;7.15411e-141;4.0262e-158;3.96047e-175;6.81948e-192;2.05872e-208;1.0915e-224;1.01815e-240;1.67417e-256;4.86255e-272;2.37586e-287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0151086;9.39492e-06;9.62321e-07
80;177319;8.02696e+25;8.02696e+25;5.08636e+07;5.39805e-11;9.59919e-29;2.86182e-46;1.43135e-63;1.20192e-80;1.69592e-97;4.02495e-114;1.60844e-130;1.08354e-146;1.2321e-162;2.3681e-178;7.7047e-194;4.25016e-209;3.98183e-224;6.34702e-239;1.72462e-253;8.00424e-268;6.35872e-282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0156523;9.70303e-06;1.06187e-06
85;177319;7.55478e+25;7.55478e+25;5.63064e+08;6.81853e-09;1.34217e-25;4.29667e-42;2.23838e-58;1.89901e-74;2.6258e-90;5.92293e-106;2.18167e-121;1.31371e-136;1.29477e-151;2.09138e-166;5.54404e-181;2.4156e-195;1.7327e-209;2.04952e-223;4.00489e-237;1.29526e-250;6.9473e-264;6.19255e-277;1.63999e-289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.016178;1.00017e-05;1.16393e-06
90;177319;7.13507e+25;7.13507e+25;4.75632e+09;5.01453e-07;8.36471e-23;2.20875e-38;9.23786e-54;6.12378e-69;6.4391e-84;1.07489e-98;2.85132e-113;1.20317e-127;8.08545e-142;8.66379e-156;1.48222e-169;4.05448e-183;1.77593e-196;1.24762e-209;1.40811e-222;2.55776e-235;7.49153e-248;3.54504e-260;2.71584e-272;3.37564e-284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0166873;1.02916e-05;1.26834e-06
95;177319;6.75954e+25;6.75954e+25;3.20011e+10;2.33895e-05;2.64029e-20;4.60529e-35;1.24188e-49;5.18084e-64;3.34605e-78;3.34835e-92;5.19623e-106;1.2518e-119;4.68639e-133;2.72964e-146;2.47673e-159;3.50543e-172;7.7502e-185;2.68071e-197;1.45294e-209;1.23606e-221;1.65347e-233;3.4844e-245;1.15899e-256;6.09735e-268;5.08428e-279;7.22479e-290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0171817;1.05736e-05;1.3749e-06
