T;pressure;atom_n;n0;n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n21;n22;n23;n24;n25;n26;n27;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n39;n40;n41;n42;n43;n44;n45;n46;n47;thermal_conductivity;shear_viscosity;bulk_viscosity
5;101325;1.02745e+27;4.40336e+26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00208574;2.28637e-06;7.40889e-09
10;101325;5.13725e+26;2.20168e+26;5.72277e-120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00426643;3.23341e-06;2.46416e-08
15;101325;3.42484e+26;1.46779e+26;1.28795e-71;1.7687e-167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00592343;3.9601e-06;4.854e-08
20;101325;2.56863e+26;1.10084e+26;1.7748e-47;2.25148e-119;2.25143e-190;1.7608e-260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00726742;4.57273e-06;7.78162e-08
25;101325;2.0549e+26;8.80672e+25;5.13754e-33;1.56102e-90;2.47401e-147;2.04883e-203;8.88456e-259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00841483;5.11247e-06;1.11762e-07
30;101325;1.71242e+26;7.33893e+25;2.17395e-23;2.54758e-71;1.18247e-118;2.17709e-165;1.59276e-211;4.63976e-257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00942819;5.60043e-06;1.49865e-07
35;101325;1.46779e+26;6.29051e+25;1.59562e-16;1.31556e-57;3.52921e-98;3.08447e-138;8.79576e-178;8.19807e-217;2.50239e-255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.010344;6.04916e-06;1.9171e-07
40;101325;1.28431e+26;5.5042e+25;2.21008e-11;2.48923e-47;7.87158e-83;6.99644e-118;1.75018e-152;1.23407e-186;2.457e-220;1.38393e-253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0111852;6.46682e-06;2.36942e-07
45;101325;1.14161e+26;4.89262e+25;2.17414e-07;2.4166e-39;6.72429e-71;4.68854e-102;8.20138e-133;3.60399e-163;3.98469e-193;1.11037e-222;7.81331e-252;1.38053e-280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0119672;6.8591e-06;2.85253e-07
50;101325;1.02745e+26;4.40336e+25;0.000336321;5.86248e-33;2.33388e-61;2.12388e-89;4.42278e-117;2.11009e-144;2.30968e-171;5.80924e-198;3.36317e-224;4.49011e-250;1.38527e-275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0127008;7.23013e-06;3.3637e-07
