T;pressure;atom_n;n0;n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n21;n22;n23;n24;n25;n26;n27;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n39;n40;n41;n42;n43;n44;n45;n46;n47;thermal_conductivity;shear_viscosity;bulk_viscosity
5;177319;2.56863e+26;2.31176e+27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00257232;2.67163e-06;1.18349e-08
10;177319;1.28431e+26;1.15588e+27;3.00445e-119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00443786;3.77826e-06;4.32231e-08
15;177319;8.56209e+25;7.70588e+26;6.76172e-71;9.28567e-167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00578343;4.6274e-06;9.07076e-08
20;177319;6.42157e+25;5.77941e+26;9.31772e-47;1.18203e-118;1.182e-189;9.24421e-260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0068835;5.34326e-06;1.51993e-07
25;177319;5.13725e+25;4.62353e+26;2.69721e-32;8.19536e-90;1.29886e-146;1.07564e-202;4.6644e-258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00783886;5.97395e-06;2.2538e-07
30;177319;4.28104e+25;3.85294e+26;1.14133e-22;1.33748e-70;6.20796e-118;1.14297e-164;8.36201e-211;2.43588e-256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00869686;6.54413e-06;3.09527e-07
35;177319;3.66947e+25;3.30252e+26;8.37701e-16;6.90669e-57;1.85284e-97;1.61935e-137;4.61777e-177;4.30399e-216;1.31375e-254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00948366;7.06847e-06;4.03331e-07
40;177319;3.21078e+25;2.8897e+26;1.16029e-10;1.30685e-46;4.13258e-82;3.67313e-117;9.18845e-152;6.47889e-186;1.28992e-219;7.26562e-253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0102153;7.55652e-06;5.0586e-07
45;177319;2.85403e+25;2.56863e+26;1.14142e-06;1.26872e-38;3.53025e-70;2.46148e-101;4.30573e-132;1.8921e-162;2.09196e-192;5.82947e-222;4.10199e-251;7.24778e-280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0109026;8.0149e-06;6.16319e-07
50;177319;2.56863e+25;2.31176e+26;0.00176569;3.0778e-32;1.22529e-60;1.11504e-88;2.32196e-116;1.1078e-143;1.21258e-170;3.04985e-197;1.76566e-223;2.35731e-249;7.27266e-275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0115531;8.44844e-06;7.34012e-07
55;177319;2.33511e+25;2.1016e+26;0.712072;5.10829e-27;7.7641e-53;2.50219e-78;1.71151e-103;2.48742e-128;7.69088e-153;5.0661e-177;7.12063e-201;2.13921e-224;1.37622e-247;1.89974e-270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0121722;8.8608e-06;8.58329e-07
60;177319;2.14052e+25;1.92647e+26;104.851;1.13504e-22;2.44535e-46;1.04926e-69;8.97473e-93;1.53177e-115;5.22279e-138;3.56212e-160;4.86668e-182;1.334e-203;7.34887e-225;8.15129e-246;1.82404e-266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0127643;9.2548e-06;9.88728e-07
65;177319;1.97587e+25;1.77828e+26;7116.8;5.37315e-19;7.65724e-41;2.06116e-62;1.04882e-83;1.00982e-104;1.84165e-125;6.36948e-146;4.18322e-166;5.22464e-186;1.24286e-205;5.64094e-225;4.89369e-244;8.1307e-263;2.59258e-281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0133327;9.63271e-06;1.12473e-06
70;177319;1.83473e+25;1.65126e+26;262989;7.55141e-16;3.91121e-36;3.65648e-56;6.1746e-76;1.88507e-95;1.04148e-114;1.04245e-133;1.89267e-152;6.2416e-171;3.74413e-189;4.09193e-207;8.16138e-225;2.97611e-242;1.98803e-259;2.4377e-276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01388;9.99633e-06;1.2659e-06
75;177319;1.71242e+25;1.54118e+26;5.97722e+06;4.01837e-13;4.68506e-32;9.47872e-51;3.33012e-69;2.03328e-87;2.15955e-105;3.99401e-123;1.28774e-140;7.24715e-158;7.12884e-175;1.22751e-191;3.7057e-208;1.9647e-224;1.83268e-240;3.01351e-256;8.75258e-272;4.27654e-287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0144084;1.03472e-05;1.41184e-06
80;177319;1.60539e+25;1.44485e+26;9.15546e+07;9.71649e-11;1.72785e-28;5.15128e-46;2.57643e-63;2.16345e-80;3.05266e-97;7.24491e-114;2.89518e-130;1.95038e-146;2.21777e-162;4.26257e-178;1.38685e-193;7.65028e-209;7.1673e-224;1.14246e-238;3.10431e-253;1.44076e-267;1.14457e-281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0149199;1.06865e-05;1.56221e-06
85;177319;1.51096e+25;1.35986e+26;1.01351e+09;1.22734e-08;2.4159e-25;7.734e-42;4.02909e-58;3.41821e-74;4.72644e-90;1.06613e-105;3.92701e-121;2.36468e-136;2.33059e-151;3.76448e-166;9.97928e-181;4.34809e-195;3.11885e-209;3.68913e-223;7.2088e-237;2.33147e-250;1.25051e-263;1.11466e-276;2.95199e-289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0154158;1.10154e-05;1.71669e-06
90;177319;1.42701e+25;1.28431e+26;8.56137e+09;9.02615e-07;1.50565e-22;3.97575e-38;1.66281e-53;1.10228e-68;1.15904e-83;1.93479e-98;5.13237e-113;2.16571e-127;1.45538e-141;1.55948e-155;2.668e-169;7.29807e-183;3.19668e-196;2.24571e-209;2.53459e-222;4.60397e-235;1.34848e-247;6.38107e-260;4.88852e-272;6.07616e-284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0158976;1.13348e-05;1.87497e-06
95;177319;1.35191e+25;1.21672e+26;5.7602e+10;4.21011e-05;4.75252e-20;8.28953e-35;2.23539e-49;9.32552e-64;6.02289e-78;6.02703e-92;9.35321e-106;2.25324e-119;8.4355e-133;4.91335e-146;4.45812e-159;6.30978e-172;1.39504e-184;4.82527e-197;2.61529e-209;2.2249e-221;2.97625e-233;6.27192e-245;2.08619e-256;1.09752e-267;9.1517e-279;1.30046e-289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0163663;1.16454e-05;2.03679e-06
100;177319;1.28431e+25;1.15588e+26;3.19447e+11;0.00133371;8.41512e-18;8.02762e-32;1.15843e-45;2.5303e-59;8.37139e-73;4.19837e-86;3.19445e-99;3.69105e-112;6.48319e-125;1.73297e-137;7.05793e-150;4.38527e-162;4.16235e-174;6.04406e-186;1.3447e-197;4.59123e-209;2.40973e-220;1.94766e-231;2.42867e-242;4.6814e-253;1.39769e-263;6.47715e-274;4.66924e-284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.016823;1.19479e-05;2.20191e-06
105;177319;1.22316e+25;1.10084e+26;1.50132e+12;0.0303295;9.07935e-16;4.02923e-29;2.65208e-42;2.59059e-55;3.75792e-68;8.10122e-81;2.59755e-93;1.23987e-105;8.8189e-118;9.35691e-130;1.4826e-141;3.51247e-153;1.24584e-164;6.62472e-176;5.28878e-187;6.34879e-198;1.14781e-208;3.13061e-219;1.29042e-229;8.0533e-240;7.62425e-250;1.09715e-259;2.40485e-269;8.04634e-279;4.11732e-288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0172685;1.2243e-05;2.37011e-06
110;177319;1.16756e+25;1.0508e+26;6.11656e+12;0.518064;6.38691e-14;1.14658e-26;2.99871e-39;1.14319e-51;6.35673e-64;5.1592e-76;6.11652e-88;1.06016e-99;2.68899e-111;9.99062e-123;5.44317e-134;4.35381e-145;5.11894e-156;8.85835e-167;2.25937e-177;8.50583e-188;4.73377e-198;3.90083e-208;4.76759e-218;8.65756e-228;2.34016e-237;9.43356e-247;5.68264e-256;5.12583e-265;6.93817e-274;1.41239e-282;4.95325e-291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0177036;1.25311e-05;2.54116e-06
115;177319;1.11679e+25;1.00511e+26;2.20109e+13;6.90028;3.0977e-12;1.99215e-24;1.83618e-36;2.42689e-48;4.6024e-60;1.25318e-71;4.90299e-83;2.75856e-94;2.2339e-105;2.60629e-116;4.38541e-127;1.06538e-137;3.74128e-148;1.90151e-158;1.4006e-168;1.49717e-178;2.32601e-188;5.26015e-198;1.73434e-207;8.35119e-217;5.88307e-226;6.07427e-235;9.20967e-244;2.05452e-252;6.75738e-261;3.28374e-269;2.36282e-277;2.52316e-285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.018129;1.28127e-05;2.71489e-06
120;177319;1.07026e+25;9.63235e+25;7.10619e+13;73.936;1.08523e-10;2.24798e-22;6.57449e-34;2.71611e-45;1.586e-56;1.3098e-67;1.53097e-78;2.53472e-89;5.94924e-100;1.98136e-110;9.37279e-121;6.30427e-131;6.03606e-141;8.23654e-151;1.60383e-160;4.4625e-170;1.77669e-179;1.01368e-188;8.30065e-198;9.77127e-207;1.65633e-215;4.05002e-224;1.43112e-232;7.32187e-241;5.43433e-249;5.86312e-257;9.21467e-265;2.11417e-272;7.09708e-280;3.49383e-287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0185453;1.30883e-05;2.89111e-06
125;177319;1.02745e+25;9.24705e+25;2.08541e+14;654.218;2.85576e-09;1.73517e-20;1.46814e-31;1.73066e-42;2.84388e-53;6.51835e-64;2.0854e-74;9.3195e-85;5.82242e-95;5.08987e-105;6.23181e-115;1.06972e-124;2.57717e-134;8.7244e-144;4.15503e-153;2.78751e-162;2.63783e-171;3.52601e-180;6.66758e-189;1.78638e-197;6.79204e-206;3.67096e-214;2.82533e-222;3.10211e-230;4.86812e-238;1.09402e-245;3.52794e-253;1.63589e-260;1.09309e-267;1.05484e-274;1.47346e-281;2.98631e-288;0;0;0;0;0;0;0;0;0;0;0;0;0;0.018953;1.33582e-05;3.06965e-06
130;177319;9.87933e+24;8.8914e+25;5.62487e+14;4887.47;5.83454e-08;9.57252e-19;2.15934e-29;6.70027e-40;2.86136e-50;1.68276e-60;1.36372e-70;1.52405e-80;2.35062e-90;5.00779e-100;1.47499e-109;6.01221e-119;3.39497e-128;2.65873e-137;2.89106e-146;4.37039e-155;9.19661e-164;2.69755e-172;1.1045e-180;6.32214e-189;5.06683e-197;5.69489e-205;8.99169e-213;1.99784e-220;6.25791e-228;2.76859e-235;1.73337e-242;1.53884e-249;1.94116e-256;3.48672e-263;8.93746e-270;3.27665e-276;1.72215e-282;1.30069e-288;0;0;0;0;0;0;0;0;0;0;0;0.0193526;1.36227e-05;3.25038e-06
135;177319;9.51343e+24;8.56209e+25;1.40765e+15;31414.8;9.51951e-07;3.91812e-17;2.19126e-27;1.66594e-37;1.72265e-47;2.42413e-57;4.64527e-67;1.21301e-76;4.31967e-86;2.09952e-95;1.39398e-104;1.26553e-113;1.57253e-122;2.67733e-131;6.25275e-140;2.00549e-148;8.84493e-157;5.37108e-165;4.49694e-173;5.19859e-181;8.31025e-189;1.83984e-196;5.65048e-204;2.41135e-211;1.43238e-218;1.18649e-225;1.37306e-232;2.22415e-239;5.05307e-246;1.61343e-252;7.25548e-259;4.60516e-265;4.13481e-271;5.26373e-277;9.52319e-283;2.45457e-288;0;0;0;0;0;0;0;0;0;0.0197447;1.38822e-05;3.43314e-06
140;177319;9.17367e+24;8.2563e+25;3.29493e+15;176560;1.27067e-05;1.2286e-15;1.59655e-25;2.7896e-35;6.55696e-45;2.07446e-54;8.83925e-64;5.07605e-73;3.93145e-82;4.11e-91;5.80443e-100;1.10841e-108;2.86477e-117;1.00315e-125;4.76441e-134;3.07263e-142;2.69399e-150;3.21525e-158;5.23046e-166;1.16138e-173;3.52484e-181;1.46451e-188;8.34274e-196;6.52666e-203;7.02375e-210;1.04159e-216;2.13233e-223;6.03739e-230;2.36871e-236;1.29033e-242;9.77907e-249;1.03327e-254;1.52539e-260;3.15326e-266;9.14825e-272;3.73359e-277;2.14864e-282;1.74788e-287;2.16335e-292;0;0;0;0;0;0;0.0201295;1.41369e-05;3.6178e-06
145;177319;8.85733e+24;7.9716e+25;7.26424e+15;879846;0.000141678;3.03396e-14;8.64345e-24;3.27731e-33;1.65465e-42;1.11298e-51;9.97974e-61;1.19366e-69;1.90581e-78;4.06488e-87;1.15915e-95;4.42324e-104;2.26075e-112;1.5492e-120;1.42482e-128;1.76073e-136;2.92692e-144;6.55303e-152;1.97853e-159;8.06663e-167;4.44728e-174;3.32032e-181;3.36204e-188;4.62424e-195;8.65363e-202;2.20701e-208;7.68444e-215;3.65932e-221;2.38765e-227;2.13872e-233;2.63511e-239;4.47492e-245;1.04958e-250;3.40735e-256;1.53441e-261;9.6065e-267;8.38089e-272;1.02128e-276;1.74251e-281;4.17314e-286;1.40456e-290;0;0;0;0;0.0205075;1.43872e-05;3.80423e-06
150;177319;8.56209e+24;7.70588e+25;1.51756e+16;3.93479e+06;0.00134355;6.04325e-13;3.582e-22;2.79895e-31;2.88455e-40;3.92284e-49;7.04385e-58;1.67101e-66;5.2409e-75;2.17474e-83;1.1949e-91;8.7005e-100;8.40309e-108;1.07754e-115;1.83639e-123;4.16389e-131;1.25755e-138;5.06472e-146;2.72349e-153;1.95793e-160;1.88431e-167;2.4311e-174;4.21092e-181;9.80695e-188;3.07577e-194;1.30119e-200;7.43738e-207;5.75372e-213;6.03532e-219;8.59956e-225;1.66763e-230;4.40982e-236;1.59335e-241;7.88252e-247;5.35063e-252;4.9943e-257;6.42454e-262;1.14156e-266;2.80844e-271;9.58905e-276;4.5551e-280;3.018e-284;2.79609e-288;3.60907e-292;0;0.020879;1.46331e-05;3.99234e-06
155;177319;8.28589e+24;7.4573e+25;3.01989e+16;1.59588e+07;0.011008;9.91384e-12;1.16613e-20;1.79223e-29;3.60063e-38;9.46053e-47;3.25273e-55;1.46433e-63;8.63718e-72;6.67977e-80;6.77859e-88;9.03361e-96;1.58237e-103;3.64655e-111;1.10665e-118;4.42731e-126;2.33747e-133;1.63051e-140;1.5045e-147;1.83862e-154;2.97984e-161;6.41326e-168;1.83554e-174;6.99655e-181;3.5571e-187;2.41592e-193;2.19557e-199;2.67436e-205;4.37372e-211;9.62088e-217;2.85173e-222;1.14118e-227;6.17726e-233;4.53211e-238;4.51605e-243;6.12469e-248;1.13296e-252;2.86489e-257;9.92548e-262;4.72226e-266;3.09266e-270;2.79481e-274;3.49372e-278;6.05671e-282;1.4599e-285;0.0212443;1.4875e-05;4.182e-06
160;177319;8.02696e+24;7.22426e+25;5.75071e+16;5.92429e+07;0.0790015;1.36408e-10;3.05064e-19;8.84006e-28;3.32063e-36;1.6177e-44;1.02263e-52;8.39346e-61;8.95036e-69;1.24085e-76;2.23818e-84;5.25679e-92;1.60901e-99;6.42396e-107;3.34861e-114;2.28128e-121;2.03331e-128;2.37366e-135;3.63353e-142;7.30226e-149;1.9291e-155;6.70791e-162;3.07434e-168;1.85978e-174;1.48715e-180;1.57431e-186;2.20981e-192;4.11955e-198;1.02165e-203;3.37652e-209;1.48976e-214;8.79108e-220;6.95126e-225;7.3794e-230;1.05385e-234;2.0287e-239;5.27533e-244;1.85697e-248;8.86815e-253;5.75854e-257;5.09611e-261;6.16076e-265;1.01986e-268;2.31751e-272;7.24714e-276;0.0216038;1.5113e-05;4.37311e-06
165;177319;7.78372e+24;7.00534e+25;1.05217e+17;2.02926e+08;0.502662;1.59963e-09;6.54192e-18;3.4395e-26;2.32579e-34;2.02366e-42;2.26683e-50;3.27087e-58;6.08333e-66;1.4593e-73;4.51839e-81;1.80715e-88;9.34407e-96;6.2515e-103;5.41677e-110;6.08453e-117;8.86925e-124;1.67953e-130;4.13633e-137;1.32642e-143;5.54514e-150;3.02598e-156;2.15832e-162;2.01492e-168;2.46554e-174;3.96021e-180;8.36251e-186;2.32516e-191;8.52655e-197;4.1307e-202;2.64823e-207;2.2508e-212;2.54076e-217;3.81637e-222;7.64244e-227;2.04441e-231;7.32046e-236;3.51597e-240;2.26993e-244;1.97418e-248;2.31811e-252;3.68336e-256;7.93833e-260;2.32606e-263;9.2891e-267;0.0219576;1.53474e-05;4.56559e-06
170;177319;7.55478e+24;6.79931e+25;1.85623e+17;6.4595e+08;2.86587;1.62151e-08;1.17036e-16;1.078e-24;1.26761e-32;1.9038e-40;3.65383e-48;8.9661e-56;2.81481e-63;1.13128e-70;5.82461e-78;3.84474e-85;3.25623e-92;3.54144e-99;4.9505e-106;8.90292e-113;2.06187e-119;6.15585e-126;2.37184e-132;1.18072e-138;7.60312e-145;6.34093e-151;6.85788e-157;9.63121e-163;1.75884e-168;4.18264e-174;1.29716e-179;5.25433e-185;2.78426e-190;1.9332e-195;1.76175e-200;2.11088e-205;3.3312e-210;6.93664e-215;1.9095e-219;6.96219e-224;3.36885e-228;2.16772e-232;1.85869e-236;2.1282e-240;3.26103e-244;6.70188e-248;1.85148e-251;6.8917e-255;3.46449e-258;0.0223061;1.55782e-05;4.75934e-06
175;177319;7.33893e+24;6.60504e+25;3.16755e+17;1.92292e+09;14.78;1.43871e-07;1.77416e-15;2.77256e-23;5.49299e-31;1.38029e-38;4.40128e-46;1.78184e-53;9.1641e-61;5.99129e-68;4.98259e-75;5.27483e-82;7.11408e-89;1.22332e-95;2.68444e-102;7.52412e-109;2.69627e-115;1.23657e-121;7.26572e-128;5.47552e-134;5.29857e-140;6.59176e-146;1.05559e-151;2.17871e-157;5.80366e-163;1.99804e-168;8.90289e-174;5.14193e-179;3.85529e-184;3.75844e-189;4.77183e-194;7.90346e-199;1.71061e-203;4.8468e-208;1.80102e-212;8.79324e-217;5.65169e-221;4.79133e-225;5.36852e-229;7.96643e-233;1.56891e-236;4.10948e-240;1.43478e-243;6.69221e-247;4.17957e-250;0.0226495;1.58056e-05;4.95428e-06
180;177319;7.13507e+24;6.42157e+25;5.24297e+17;5.3834e+09;69.5292;1.12983e-06;2.31061e-14;5.9491e-22;1.9291e-29;7.88175e-37;4.05942e-44;2.63697e-51;2.16169e-58;2.23767e-65;2.92684e-72;4.84071e-79;1.01311e-85;2.68524e-92;9.0211e-99;3.84478e-105;2.08078e-111;1.43137e-117;1.25284e-123;1.39675e-129;1.98571e-135;3.60405e-141;8.36123e-147;2.48257e-152;9.44605e-158;4.61217e-163;2.89383e-168;2.33657e-173;2.43149e-178;3.26602e-183;5.6716e-188;1.27538e-192;3.72004e-197;1.40986e-201;6.95494e-206;4.47388e-210;3.75974e-214;4.13561e-218;5.9659e-222;1.13093e-225;2.82295e-229;9.29797e-233;4.04963e-236;2.3374e-239;1.79187e-242;0.0229879;1.60298e-05;5.15034e-06
185;177319;6.94223e+24;6.24801e+25;8.43867e+17;1.42449e+10;300.596;7.93138e-06;2.61746e-13;1.08074e-20;5.58509e-28;3.61405e-35;2.92963e-42;2.97651e-49;3.79243e-56;6.06322e-63;1.21715e-69;3.07e-76;9.73653e-83;3.88579e-89;1.95309e-95;1.23739e-101;9.89079e-108;9.98411e-114;1.27402e-119;2.05726e-125;4.20841e-131;1.09184e-136;3.59684e-142;1.5064e-147;8.03095e-153;5.45722e-158;4.7331e-163;5.24684e-168;7.4449e-173;1.35418e-177;3.16243e-182;9.49682e-187;3.6733e-191;1.83308e-195;1.18223e-199;9.8714e-204;1.06906e-207;1.50443e-211;2.75624e-215;6.58684e-219;2.05739e-222;8.41623e-226;4.51837e-229;3.1903e-232;2.96897e-235;0.0233217;1.62509e-05;5.34744e-06
190;177319;6.75954e+24;6.08359e+25;1.32368e+18;3.57859e+10;1202.34;5.02146e-05;2.6076e-12;1.68423e-19;1.35353e-26;1.35399e-33;1.68673e-40;2.61799e-47;5.06548e-54;1.22251e-60;3.68248e-67;1.38539e-73;6.51415e-80;3.83112e-86;2.82049e-92;2.60148e-98;3.00884e-104;4.36782e-110;7.96603e-116;1.82714e-121;5.27613e-127;1.92024e-132;8.81835e-138;5.11602e-143;3.75428e-148;3.4892e-153;4.1125e-158;6.15545e-163;1.17166e-167;2.84027e-172;8.78193e-177;3.46864e-181;1.75289e-185;1.13524e-189;9.43807e-194;1.00899e-197;1.3895e-201;2.46939e-205;5.67384e-209;1.68867e-212;6.52274e-216;3.27638e-219;2.14444e-222;1.83269e-225;2.04943e-228;0.0236509;1.6469e-05;5.5455e-06
195;177319;6.58622e+24;5.9276e+25;2.02756e+18;8.56949e+10;4476.13;0.000289012;2.30734e-11;2.27838e-18;2.78365e-25;4.20966e-32;7.88344e-39;1.82907e-45;5.26041e-52;1.87642e-58;8.30662e-65;4.56655e-71;3.11977e-77;2.65062e-83;2.80287e-89;3.69186e-95;6.06248e-101;1.24226e-106;3.17939e-112;1.01736e-117;4.07433e-123;2.04435e-128;1.28665e-133;1.01689e-138;1.01046e-143;1.26397e-148;1.99293e-153;3.96607e-158;9.9756e-163;3.17573e-167;1.28147e-171;6.56425e-176;4.2751e-180;3.54553e-184;3.75056e-188;5.06896e-192;8.76787e-196;1.9444e-199;5.53825e-203;2.02982e-206;9.59091e-210;5.85349e-213;4.62358e-216;4.73614e-219;6.30444e-222;0.0239758;1.66843e-05;5.74448e-06
200;177319;6.42157e+24;5.77941e+25;3.03827e+18;1.96317e+11;15594;0.00152307;1.82962e-10;2.70404e-17;4.91842e-24;1.10146e-30;3.03826e-37;1.03277e-43;4.32834e-50;2.23781e-56;1.42812e-62;1.12571e-68;1.09672e-74;1.32157e-80;1.97124e-86;3.64243e-92;8.3447e-98;2.37238e-103;8.37744e-109;3.67802e-114;2.0097e-119;1.3681e-124;1.16158e-129;1.23145e-134;1.63204e-139;2.70721e-144;5.62771e-149;1.46801e-153;4.81163e-158;1.98438e-162;1.0312e-166;6.76211e-171;5.60402e-175;5.87848e-179;7.81755e-183;1.32015e-186;2.83562e-190;7.76054e-194;2.71091e-197;1.21087e-200;6.92851e-204;5.0881e-207;4.80486e-210;5.8461e-213;9.18295e-216;0.0242964;1.68969e-05;5.9443e-06
