T;pressure;atom_n;n0;n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n21;n22;n23;n24;n25;n26;n27;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n39;n40;n41;n42;n43;n44;n45;n46;n47;thermal_conductivity;shear_viscosity;bulk_viscosity
5;25331.2;0.5;1.83473e+26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00179288;2.42576e-06;9.58973e-09
10;25331.2;0.5;9.17367e+25;2.38449e-120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00384353;3.43054e-06;3.36434e-08
15;25331.2;0.5;6.11578e+25;5.36644e-72;7.36958e-168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00544271;4.20154e-06;6.85701e-08
20;25331.2;0.5;4.58683e+25;7.39501e-48;9.38115e-120;9.38098e-191;7.33668e-261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00674765;4.85152e-06;1.12405e-07
25;25331.3;0.5;3.66947e+25;2.14064e-33;6.50425e-91;1.03084e-147;8.5368e-204;3.7019e-259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00786336;5.42416e-06;1.6391e-07
30;25331.2;0.5;3.05789e+25;9.05814e-24;1.06149e-71;4.92695e-119;9.07121e-166;6.63651e-212;1.93324e-257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00884905;5.94187e-06;2.22188e-07
35;25331.3;0.5;2.62105e+25;6.64842e-17;5.4815e-58;1.4705e-98;1.2852e-138;3.6649e-178;3.41586e-217;1.04266e-255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00973983;6.41795e-06;2.86524e-07
40;25331.2;0.5;2.29342e+25;9.20865e-12;1.03718e-47;3.27982e-83;2.91518e-118;7.29242e-153;5.14198e-187;1.02375e-220;5.76636e-254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.010558;6.86108e-06;3.56326e-07
45;25331.3;0.5;2.03859e+25;9.0589e-08;1.00692e-39;2.80179e-71;1.95356e-102;3.41724e-133;1.50166e-163;1.66029e-193;4.62656e-223;3.25555e-252;5.75221e-281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0113186;7.27727e-06;4.31087e-07
50;25331.2;0.5;1.83473e+25;0.000140134;2.4427e-33;9.72449e-62;8.84951e-90;1.84282e-117;8.79206e-145;9.62368e-172;2.42052e-198;1.40132e-224;1.87088e-250;5.77196e-276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0120321;7.67092e-06;5.10364e-07
55;25331.3;0.5;1.66794e+25;0.0565136;4.0542e-28;6.16198e-54;1.98586e-79;1.35834e-104;1.97414e-129;6.10388e-154;4.02071e-178;5.65129e-202;1.69779e-225;1.09224e-248;1.50773e-271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0127062;8.04533e-06;5.93771e-07
60;25331.2;0.5;1.52894e+25;8.32148;9.00823e-24;1.94075e-47;8.32748e-71;7.1228e-94;1.21569e-116;4.14507e-139;2.82708e-161;3.86244e-183;1.05873e-204;5.83244e-226;6.46928e-247;1.44765e-267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0133468;8.40307e-06;6.80963e-07
65;25331.2;0.5;1.41133e+25;564.826;4.2644e-20;6.07718e-42;1.63584e-63;8.32397e-85;8.01446e-106;1.46162e-126;5.05514e-147;3.32002e-167;4.14654e-187;9.86399e-207;4.47694e-226;3.88388e-245;6.45294e-264;2.0576e-282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0139585;8.74619e-06;7.71632e-07
70;25331.3;0.5;1.31052e+25;20872.1;5.99318e-17;3.10414e-37;2.90196e-57;4.90048e-77;1.49609e-96;8.26569e-116;8.2734e-135;1.50212e-153;4.95365e-172;2.97153e-190;3.24756e-208;6.47729e-226;2.36199e-243;1.5778e-260;1.93468e-277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0145448;9.07635e-06;8.65501e-07
75;25331.2;0.5;1.22316e+25;474382;3.18919e-14;3.7183e-33;7.52279e-52;2.64295e-70;1.61372e-88;1.71393e-106;3.16985e-124;1.02202e-141;5.75171e-159;5.65781e-176;9.74211e-193;2.94103e-209;1.55929e-225;1.45451e-241;2.39167e-257;6.94649e-273;3.39408e-288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0151086;9.39492e-06;9.62321e-07
80;25331.2;0.5;1.14671e+25;7.26623e+06;7.7115e-12;1.37131e-29;4.08831e-47;2.04478e-64;1.71702e-81;2.42275e-98;5.74993e-115;2.29776e-131;1.54792e-147;1.76014e-163;3.38299e-179;1.10067e-194;6.07165e-210;5.68833e-225;9.06717e-240;2.46374e-254;1.14346e-268;9.08388e-283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0156523;9.70303e-06;1.06187e-06
85;25331.2;0.5;1.07925e+25;8.04377e+07;9.74076e-10;1.91738e-26;6.13809e-43;3.19769e-59;2.71287e-75;3.75115e-91;8.46133e-107;3.11667e-122;1.87673e-137;1.84967e-152;2.98768e-167;7.92006e-182;3.45086e-196;2.47528e-210;2.92788e-224;5.72127e-238;1.85037e-251;9.92471e-265;8.8465e-278;2.34285e-290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.016178;1.00017e-05;1.16393e-06
90;25331.2;0.5;1.0193e+25;6.79474e+08;7.16361e-08;1.19496e-23;3.15536e-39;1.31969e-54;8.74825e-70;9.19871e-85;1.53555e-99;4.07331e-114;1.71882e-128;1.15506e-142;1.23768e-156;2.11746e-170;5.79212e-184;2.53705e-197;1.78231e-210;2.01158e-223;3.65394e-236;1.07022e-248;5.06434e-261;3.87978e-273;4.82235e-285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0166873;1.02916e-05;1.26834e-06
